"Audience","Topic","Subtopic","Article","Keywords"
"For Reviewers","[Featured] New to Trustpilot","","Who can write a review",""
"For Reviewers","[Featured] New to Trustpilot","","Quick start guide",""
"For Reviewers","[Featured] New to Trustpilot","","Create a profile",""
"For Reviewers","[Featured] Trustpilot reviews 101","","Write a review",""
"For Reviewers","[Featured] Trustpilot reviews 101","","Edit or delete a review","delete review"
"For Reviewers","[Featured] Trustpilot reviews 101","","Tips for writing reviews",""
"For Reviewers","[Featured] How to use Trustpilot","","Discover new businesses",""
"For Reviewers","[Featured] How to use Trustpilot","","Tips for using Trustpilot",""
"For Reviewers","[Featured] How to use Trustpilot","","Shop smarter using reviews",""
"For Reviewers","Announcements","","","(empty — pending)"
"For Reviewers","About Trustpilot","Contact Us","Add attachments to an email",""
"For Reviewers","About Trustpilot","Contact Us","EU Digital Services Act: Contact points on Trustpilot",""
"For Reviewers","About Trustpilot","Contact Us","How can I appeal a decision made by the Content Integrity Team?",""
"For Reviewers","About Trustpilot","Contact Us","How do I contact Trustpilot?",""
"For Reviewers","About Trustpilot","Contact Us","How to take a screenshot",""
"For Reviewers","About Trustpilot","How Trustpilot works for you","Do businesses pay to use Trustpilot?",""
"For Reviewers","About Trustpilot","How Trustpilot works for you","How can reviews improve your online shopping experiences?",""
"For Reviewers","About Trustpilot","How Trustpilot works for you","How does Trustpilot's business model work?",""
"For Reviewers","Create your profile","","Change or remove your profile picture",""
"For Reviewers","Create your profile","","Choose a username",""
"For Reviewers","Create your profile","","Create a Trustpilot reviewer profile",""
"For Reviewers","Create your profile","","Tips for using Trustpilot",""
"For Reviewers","Create your profile","","Verify your identity with photo ID",""
"For Reviewers","Navigating Trustpilot","Social sharing","Share your Trustpilot reviews",""
"For Reviewers","Navigating Trustpilot","Searching on Trustpilot","Find and explore categories",""
"For Reviewers","Navigating Trustpilot","Searching on Trustpilot","Trustpilot's Google Chrome Extension",""
"For Reviewers","Navigating Trustpilot","Business profile pages and review labels","Company activity - See how every business uses Trustpilot",""
"For Reviewers","Navigating Trustpilot","Business profile pages and review labels","Filter a business's reviews",""
"For Reviewers","Navigating Trustpilot","Business profile pages and review labels","Merged business profiles on Trustpilot",""
"For Reviewers","Navigating Trustpilot","Business profile pages and review labels","Why are some reviews marked ""Verified""?","verified"
"For Reviewers","Navigating Trustpilot","","Can I trust Trustpilot reviews on business websites?",""
"For Reviewers","Your Trustpilot account","","Change or reset your Trustpilot user account password","password; forgot password; reset password; user password"
"For Reviewers","Your Trustpilot account","","Change your Trustpilot reviewer account email","email"
"For Reviewers","Your Trustpilot account","","Delete your Trustpilot reviewer account","delete account"
"For Reviewers","Your Trustpilot account","","I can't log in to my reviewer account","login; log in; can't log in"
"For Reviewers","Your Trustpilot account","","I have two user profiles on Trustpilot. Can I merge them?","merge accounts"
"For Reviewers","Your Trustpilot account","","Manage your personal and email settings",""
"For Reviewers","Writing Reviews","How to write reviews","Be the first to review a business",""
"For Reviewers","Writing Reviews","How to write reviews","Review a business multiple times",""
"For Reviewers","Writing Reviews","How to write reviews","Write a review",""
"For Reviewers","Writing Reviews","Manage and Edit your reviews","Edit or delete your review",""
"For Reviewers","Writing Reviews","Manage and Edit your reviews","Find and manage your reviews",""
"For Reviewers","Writing Reviews","Manage and Edit your reviews","Find and respond to your review invitations",""
"For Reviewers","Writing Reviews","Manage and Edit your reviews","How to delete your product review picture or video",""
"For Reviewers","Writing Reviews","Tips","How to take photos and videos for product reviews",""
"For Reviewers","Writing Reviews","Tips","Tips for writing location reviews",""
"For Reviewers","Writing Reviews","Tips","Tips for writing product reviews",""
"For Reviewers","Writing Reviews","","Who can write a review and when?",""
"For Reviewers","Flagging","How to flag a review","How do we handle misuse of the review flagging tool for consumers?",""
"For Reviewers","Flagging","My review was flagged","I've been asked to update my review or provide more info",""
"For Reviewers","Flagging","Whistleblower","Does Trustpilot have a whistleblower function?",""
"For Reviewers","Privacy","","Delete your review invitations data",""
"For Reviewers","Privacy","","How to access, download, correct, or delete your personal data",""
"For Reviewers","Privacy","","The GDPR and data protection requirements for businesses","gdpr"
"For Reviewers","Privacy","","What's the retention period of reviews?",""
"For Businesses","Getting started with Trustpilot Business","Starter plan","Getting started with Trustpilot's Starter plan",""
"For Businesses","Getting started with Trustpilot Business","Premium plan","Getting started with Trustpilot's Premium plan",""
"For Businesses","Getting started with Trustpilot Business","Plus plan","Getting started with Trustpilot's Plus plan",""
"For Businesses","Getting started with Trustpilot Business","Free plan","Getting started with Trustpilot's Free plan",""
"For Businesses","How Trustpilot works","About","Trustpilot's review labels",""
"For Businesses","How Trustpilot works","About","Your business profile page",""
"For Businesses","How Trustpilot works","Protecting the platform","New EU laws on reviews - What they mean for businesses using Trustpilot","eu laws"
"For Businesses","How Trustpilot works","Protecting the platform","Teams behind Trust at Trustpilot",""
"For Businesses","How Trustpilot works","Help","Contact your account manager",""
"For Businesses","How Trustpilot works","Help","How to contact Trustpilot",""
"For Businesses","How Trustpilot works","Help","Trustpilot's Support Team",""
"For Businesses","How Trustpilot works","","Trustpilot's April 2026 product launch",""
"For Businesses","Account management","Set up your account","Customize your business profile",""
"For Businesses","Account management","Set up your account","Claim your business profile",""
"For Businesses","Account management","Manage your account","Manage multiple domains or businesses",""
"For Businesses","Account management","Manage your account","Manage review notifications",""
"For Businesses","Account management","Manage your account","Manage Trustpilot Business users",""
"For Businesses","Account management","Manage your account","Roles and permissions overview","roles; permissions"
"For Businesses","Account management","Manage your account","Set up custom roles",""
"For Businesses","Account management","Manage your account","Turn off auto-renewal for your Trustpilot Business plan","auto-renewal"
"For Businesses","Account management","Login and password","Change your Trustpilot Business account email","email"
"For Businesses","Account management","Login and password","Change your Trustpilot Business account password","password; reset password"
"For Businesses","Account management","Login and password","I can't access my Trustpilot Business account",""
"For Businesses","Account management","Login and password","Log in to your Trustpilot Business account","login; log in"
"For Businesses","Account management","Login and password","New login method to Trustpilot Business - FAQ",""
"For Businesses","Account management","Billing","Manage your billing details",""
"For Businesses","Account management","Billing","Purchase add-ons or upgrade your plan",""
"For Businesses","Account management","Billing","Set up automatic billing",""
"For Businesses","Account management","Billing","How can I pay my Trustpilot invoice?","invoice"
"For Businesses","Account management","Billing","Your Trustpilot invoice explained","invoice"
"For Businesses","Account management","Subscription Management","","(empty — pending)"
"For Businesses","Get reviews","Request reviews automatically","Automate review invitations using Google Tag Manager","gtm; google tag manager"
"For Businesses","Get reviews","Request reviews automatically","Embedded Review Form with Unique Link",""
"For Businesses","Get reviews","Request reviews automatically","Trustpilot's automatic invitation methods",""
"For Businesses","Get reviews","Request reviews manually","Send product review invitations by importing a customer data file",""
"For Businesses","Get reviews","Request reviews manually","Send service review invitations by importing a customer data file",""
"For Businesses","Get reviews","Request reviews manually","Trustpilot's manual invitation methods",""
"For Businesses","Get reviews","Request reviews manually","What to do when your manual invitation access ends",""
"For Businesses","Get reviews","Request reviews using methods outside of Trustpilot's system","Send invitations with a Business API link","api"
"For Businesses","Get reviews","Request reviews using methods outside of Trustpilot's system","Troubleshoot Business Generated Links",""
